FileName;Collection;Prefix;Status;Pass
vocals_Face To Face - Disconnected.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;BAD;False
vocals_Fall Out Boy - America's Sweethearts.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;BAD;False
vocals_Fall Out Boy - Sugar, We're Going Down.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Fall Out Boy - The Take Over, The Break's Over.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Fall Out Boy - Thks Fr Th Mmrs.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Filter - Take A Picture.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Finger Eleven - Paralyzer.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Finley - Adrenalina.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Finley - Tutto E' Possibile.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;BAD;False
vocals_FIREWIND - World On Fire.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;BAD;False
vocals_Fito & Fitipaldis - Por La Boca Vive El Pez.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Fleetwood Mac - Don't Stop.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Fleetwood Mac - Go Your Own Way.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;GOOD;True
vocals_Flight Of The Conchords - Business Time.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;GOOD;True
vocals_Flo Rida featuring T-Pain - Low (Travis Barker Remix).mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Flogging Molly - (No More) Paddy's Lament.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;GOOD;True
vocals_Flogging Molly - Requiem For A Dying Song.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Flogging Molly - The Seven Deadly Sins.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Flyleaf - I'm So Sick.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;BAD;False
vocals_Foo Fighters - Best of You.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Foo Fighters - Breakout.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;BAD;False
vocals_Foo Fighters - Doll.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;BAD;False
vocals_Foo Fighters - Enough Space.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;GOOD;True
vocals_Foo Fighters - February Stars.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;BAD;False
vocals_Foo Fighters - Hey, Johnny Park!.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;GOOD;True
vocals_Foo Fighters - Learn To Fly.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;BAD;False
vocals_Frankie Goes To Hollywood - Relax.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;BAD;False
vocals_Franz Ferdinand - Take Me Out.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
vocals_Freezepop - Brainpower.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;GOOD;True
vocals_Freezepop - Sprode.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;F;PERFECT;True
