FileName;Collection;Prefix;Status;Pass
vocals_Garbage - I Think I'm Paranoid.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;PERFECT;True
vocals_Goo Goo Dolls - Name.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;BAD;False
vocals_Good Charlotte - Girls & Boys.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;GOOD;True
vocals_Gov't Mule - Streamline Woman.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;BAD;False
vocals_Grand Funk Railroad - We're An American Band.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;BAD;False
vocals_Grateful Dead - Alabama Getaway.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;GOOD;True
vocals_Grateful Dead - Touch Of Grey.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;BAD;False
vocals_Guess Who - American Woman.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;PERFECT;True
vocals_Guns & Roses - Shackler's Revenge.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;BAD;False
vocals_Guns N Roses - Better.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;PERFECT;True
vocals_Guns N Roses - Catcher In The Rye.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;GOOD;True
vocals_Guns N Roses - Chinese Democracy.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;PERFECT;True
vocals_Guns N Roses - I.R.S.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;GOOD;True
vocals_Guns N Roses - If The World.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;BAD;False
vocals_Guns N Roses - Madagascar.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;GOOD;True
vocals_Guns N Roses - Prostitute.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;GOOD;True
vocals_Guns N Roses - Riad 'N The Bedouins.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;PERFECT;True
vocals_Guns N Roses - Scraped.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;PERFECT;True
vocals_Guns N Roses - Shackler's Revenge.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;BAD;False
vocals_Guns N Roses - Sorry.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;PERFECT;True
vocals_Guns N Roses - Street Of Dreams.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;GOOD;True
vocals_Guns N Roses - There Was A Time.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;GOOD;True
vocals_Guns N Roses - This I Love.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;G;PERFECT;True
