FileName;Collection;Prefix;Status;Pass
vocals_Vagiant - Seven.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Vampire Weekend - Holiday.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Vampire Weekend - The Kids Don't Stand A Chance.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Van Halen - Ain't Talkin' Bout Love.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Van Halen - And the Cradle Will Rock....mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;BAD;False
vocals_Van Halen - Atomic Punk.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;BAD;False
vocals_Van Halen - Beautiful Girls.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;PERFECT;True
vocals_Van Halen - Dance the Night Away.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;PERFECT;True
vocals_Van Halen - Everybody Wants Some!!.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;BAD;False
vocals_Van Halen - Feel Your Love Tonight.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;PERFECT;True
vocals_Van Halen - Hang 'Em High.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Van Halen - Hear About It Later.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Van Halen - Hot for Teacher.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Van Halen - Ice Cream Man.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;BAD;False
vocals_Van Halen - I'm the One.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;PERFECT;True
"vocals_Van Halen - Intruder; (Oh) Pretty Woman.mogg_fixed.mogg_extract.wav";RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Van Halen - Jamie's Cryin'.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Van Halen - Jump.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Van Halen - Mean Street.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;PERFECT;True
vocals_Van Halen - Panama.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Van Halen - Romeo Delight.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;BAD;False
vocals_Van Halen - Runnin' With the Devil.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Van Halen - So This Is Love.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;PERFECT;True
vocals_Van Halen - Somebody Get Me a Doctor.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Van Halen - Unchained.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;PERFECT;True
vocals_Van Halen - You Really Got Me.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;GOOD;True
vocals_Vanilla Ice - Ice Ice Baby.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;PERFECT;True
vocals_Vanilla Sky - Break It Out.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;PERFECT;True
vocals_Village People - YMCA.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;V;PERFECT;True
