FileName;Collection;Prefix;Status;Pass
vocals_Warrant - Cherry Pie.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_We The Kings - Check Yes Juliet.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;BAD;False
vocals_Weezer - (If You're Wondering If I Want You To) I Want You To.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;GOOD;True
vocals_Weezer - Buddy Holly.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;BAD;False
vocals_Weezer - Dope Nose.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Weezer - Hash Pipe.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;GOOD;True
vocals_Weezer - Perfect Situation.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;BAD;False
vocals_Weezer - Say It Ain't So.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Weezer - Undone (The Sweater Song).mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;BAD;False
vocals_White Zombie - Thunder Kiss '65.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Who - My Generation.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;BAD;False
vocals_Who - Pinball Wizard.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;GOOD;True
vocals_Who - Who Are You.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Who - Won't Get Fooled Again.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Willie Nelson - On The Road Again (live).mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;BAD;False
vocals_Wings - Band On The Run.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;GOOD;True
vocals_Wings - Helen Wheels.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;BAD;False
vocals_Wings - Hi Hi Hi.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Wings - Jet.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Wings - Junior's Farm.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;BAD;False
vocals_Wings - Let Me Roll It.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;GOOD;True
vocals_Wings - Maybe I'm Amazed.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;BAD;False
vocals_Within Temptation - What Have You Done.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Wolfmother - Back Round.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;BAD;False
vocals_Wolfmother - California Queen.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Wolfmother - Cosmic Egg.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;GOOD;True
vocals_Wolfmother - Dimension.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Wolfmother - Joker & the Thief.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Wolfmother - Joker And The Thief.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
vocals_Wolfmother - Woman.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;W;PERFECT;True
