FileName;RockBand-GuitarHero_rb-spreadsheet;Status;Pass;Prefix
vocals_2. Jimi Hendrix - Up from the Skies.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_2.1 Blur - Song 2.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_2.2 Tom Petty - Free Fallin.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_2.3 We the Kings - Check Yes Juliet.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_2.4 Kaiser Chiefs - Ruby.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_2.5 P!NK - So What.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_20 - Weapon of Choice.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_20 The Future Soon.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_20. Jane's Addiction - Mountain Song.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_21 - Bad Reputation.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_21 - Round and Round.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_21. Alice in Chains - Man in the Box.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_22 - Best of You.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_22 - Nothin' But a Good Time.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_22 - Smells Like Teen Spirit.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_22 - Whip It.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_22. Lacuna Coil - Our Truth.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_23 - Killer Queen.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_23. Billy Idol - White Wedding (Part 1).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_24 - Back in the Saddle.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_24 - On the Road Again (Live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_24 - Take Back The City.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_24. Beck - E-Pro.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_25 - A-Punk.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_25 - And the Cradle Will Rock.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_25 - Thunder Kiss '65.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_25. Talking Heads - Psycho Killer.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_26 - Kryptonite.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_26 - Smoke on the Water.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_26 - The Joker.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_26. Norman Greenbaum - Spirit in the Sky.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_27 - Are You Gonna Go My Way.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_27 - Miss Murder.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_27. The Muffs - Kids in America.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_28 - Carry On Wayward Son.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_28 - Mountain Song.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;2
vocals_28 - Nearly Lost You.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_28. Dinosaur Jr. - Feel the Pain.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_29 - Ace of Spades.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_29 - Every Rose Has Its Thorn.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;2
vocals_29 - Freak on a Leash.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
vocals_29. Red Hot Chili Peppers - Give it Away.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;2
