FileName;Collection;Status;Pass;Prefix
vocals_Can't Buy Me Love.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;C
vocals_CCR - Lodi.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Chaotrope - The Hourglass Paroxysm - Part II.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;C
vocals_Cheap Trick - Dream Police.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Cheap Trick - I Want You To Want Me (Live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;C
vocals_Cheap Trick - Surrender (Live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;C
vocals_Chicago - 25 or 6 to 4.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Chicago - Feelin Stronger Every Day.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Children of Bodom - Are You Dead Yet.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Chumbawamba - Tubthumping.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Cinderella - Don't Know What You Got (Till It's Gone).wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Cinderella - Nobodys Fool.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Cinderella - Shelter me.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Close Your Eyes - Keep the Lights On.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Close Your Eyes - Song for the Broken.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Close Your Eyes - The Body.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Close Your Eyes - Valleys.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Cobra Starship (ft. Sabi) - You Make Me Feel.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Cocktail Slippers - Give It to Me.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Coheed and Cambria - Ten Speed (Of God's Blood & Burial).wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Coldplay - Clocks.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Coldplay - Every Teardrop is a Waterfall.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Coldplay - Fix You.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Coldplay - The Scientist.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Coldplay - Viva la Vida.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Coldplay - Yellow.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Collective Soul - Shine.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Come Together.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Converge - I Can Tell You About Pain.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Count Zero - Shake.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Counting Crows - Accidentally in Love.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;C
vocals_Creedence Clearwater Revival - Bad Moon Rising.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Creedence Clearwater Revival - Born On The Bayou.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Creedence Clearwater Revival - Down on the Corner.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Creedence Clearwater Revival - Fortunate Son (Original Version).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;C
vocals_Creedence Clearwater Revival - Fortunate Son.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Creedence Clearwater Revival - Green River.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Creedence Clearwater Revival - Have You Ever Seen the Rain.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Creedence Clearwater Revival - I Heard It Through the Grapevine.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Creedence Clearwater Revival - Lookin' Out My Back Door.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Creedence Clearwater Revival - Proud Mary.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;C
vocals_Creedence Clearwater Revival - Run Through the Jungle.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Creedence Clearwater Revival - Travelin' Band.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Creedence Clearwater Revival - Who'll Stop the Rain.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;C
vocals_Crooked X - Gone.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;C
vocals_Crooked X - Rock 'n' Roll Dream.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Cross Canadian Ragweed - Cry Lonely.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;C
vocals_Cyndi Lauper - Time After Time (18 tracks).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;C
