FileName;Collection;Status;Pass;Prefix
vocals_I Am The Walrus.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_I Feel Fine.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_I Melt With You.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_I Saw Her Standing There.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_I Wanna Be Your Man.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_I Want To Hold You Hand.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_I Want You (She's So Heavy).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_Ida Maria - Oh My God.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;I
vocals_If I Needed Someone.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_I'm Looking Through You.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_Imagine Dragons - Believer.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;I
vocals_Imagine Dragons - Radioactive.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;I
vocals_In The End Synced Tracks.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_In This Moment - Forever.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;I
vocals_Incubus - Drive.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_INXS - Need You Tonight.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_Iron Maiden - 2 Minutes to Midnight.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_Iron Maiden - Aces High (live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_Iron Maiden - Can I Play With Madness.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_Iron Maiden - Fear of the Dark (live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_Iron Maiden - Flight of Icarus.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;I
vocals_Iron Maiden - Hallowed be thy Name (live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_Iron Maiden - Infinite dreams.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;I
vocals_Iron Maiden - Iron Maiden (live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_Iron Maiden - Phantom of the Opera.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_Iron Maiden - Powerslave.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_Iron Maiden - Rime of the Ancient Mariner.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_Iron Maiden - Run To The Hills (Original).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
vocals_Iron Maiden - Seventh Son of a Seventh Son.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_Iron Maiden - The Clairvoyant.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_Iron Maiden - The Number of the Beast (Cover).wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;I
vocals_Iron Maiden - The Number of the Beast (Original).wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_Iron Maiden - The Prisoner.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;I
vocals_Iron Maiden - The Trooper.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_Iron Maiden - The Wicker Man.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_Iron Maiden - Wasted Years.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;I
vocals_I've Got A Feeling.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;I
