FileName;Collection;Status;Pass;Prefix
vocals_La Roux - Bulletproof.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lacuna Coil - Closer.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lacuna Coil - Swamped.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lady Antebellum - Need You Now.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lady Gaga - Applause [Stems].wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lady Gaga - Bad Romance.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lady Gaga - Born This Way.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lady Gaga - Just Dance.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lady Gaga - LoveGame.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lady Gaga - Monster.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lady Gaga - Paparazzi.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lady Gaga - Poker Face.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lady Gaga (Feat. Colby O'Donis) - Just Dance.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lamb of God - Laid to Rest.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lamb of God - Redneck.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;L
vocals_Lenny Kravitz - Let Love Rule.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;L
vocals_Les Wampas - Manu Chao.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lesley Roy - I'm Gone, I'm Going.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Limp Bizkit - Gold Cobra.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Limp Bizkit - My Way.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Limp Bizkit - Nookie.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;L
vocals_Limp Bizkit - Re-Arranged.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;L
vocals_Linkin Park - Breaking The Habit.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;L
vocals_Linkin Park - Burn It Down.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Linkin Park - Crawling.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Linkin Park - In The End.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Linkin Park - New Divide (Stems).wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Linkin Park - Numb.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Linkin Park - Somewhere I Belong.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Linkin Park - Waiting For The End.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Live - I Alone.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;L
vocals_Live - Lightning Crashes.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;L
vocals_Living Colour - Cult of Personality.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;L
vocals_Lockdown - Haunting the Dead.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;L
vocals_Locksley - All Over Again.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;L
vocals_Locksley - Don't Make Me Wait.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Locksley - She Does.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lorde - Royals.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;L
vocals_Lordi - Hard Rock Hallelujah.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;L
vocals_Lucinda Williams - Can't Let Go.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;L
vocals_Lucy in the Sky with Diamonds.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;L
vocals_Lynyrd Skynyrd - Free Bird.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;L
vocals_Lynyrd Skynyrd - Gimme Three Steps.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;L
vocals_Lynyrd Skynyrd - Simple Man.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;L
vocals_Lynyrd Skynyrd - Sweet Home Alabama (Live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;L
vocals_Lynyrd Skynyrd - Tuesday's Gone.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;L
