FileName;Collection;Status;Pass;Prefix
vocals_Megadeth - Sleepwalker.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Mastodon - Colony of Birchmen.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_Megadeth - Public Enemy No. 1.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Mana - Oye Mi Amor.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;M
vocals_Megadeth - Five Magics.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_My Chemical Romance - I'm Not Okay (I Promise).wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_My Chemical Romance - Sing.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Mastodon - Curl of the Burl.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_Megadeth - Hangar 18.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_Motley Crue - Face Down in the Dirt.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;M
vocals_Machinae Supremacy - Hero.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Mr. Big - To Be With You.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_Mötley Crüe - Saints of Los Angeles.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Miley Cyrus - Fly On the Wall.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Miley Cyrus - Can't Be Tamed.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Maroon 5 - Wake Up Call.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;M
vocals_Maroon 5 - This Love.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_Megadeth - Rust in Peace.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_Maximo Park - Girls Who Play Guitars.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;M
vocals_Machinae Supremacy - Force Feedback.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Megadeth - Peace Sells.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_Megadeth - Dawn Patrol.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_Megadeth - Take No Prisoners.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_Mission of Burma - Mica.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;M
vocals_My Chemical Romance - Teenagers.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Miley Cyrus - Start All Over.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Mr.Big - To Be With  You.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Megadeth - A Tout le Monde.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_Megadeth - Holy Wars...The Punishment Due.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;M
vocals_Marcy Playground - Sex and Candy.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;M
vocals_Morbid Angel - Nevermore.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Motley Crue - Down at the Whiskey.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Megadeth - À Tout le Monde.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
vocals_Matchbox 20 - How Far We've Come.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;M
