FileName;Collection;Status;Pass;Prefix
vocals_T-Rex - 20th Century Boy.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_T. Rex - Children of the Revolution.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_T. Rex - Cosmic Dancer.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_T. Rex - Jeepster.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_Talking Heads - Burning Down The House.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_Tears for Fears - Everybody Wants to Rule the World.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_Tears for Fears - Shout.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;T
vocals_Tegan and Sara - The Con.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;T
vocals_Tenacious D - Rize Of The Fenix.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;T
vocals_Tenacious D - Rock Your Socks.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;T
vocals_Tenacious D - The Metal.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;T
vocals_Tenacious D - Tribute.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;T
vocals_Testament - Electric Crown.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;T
vocals_The 88 - Sons and Daughters.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;T
vocals_The All American Rejects - Gives You Hell.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;T
vocals_The All-American Rejects - Gives You Hell.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_The All-American Rejects - Kids in the Street.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_The All-American Rejects - Swing Swing.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_The Allman Brothers Band - Blue Sky (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_The B-52's - Love Shack.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_The B-52's - Roam.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;T
vocals_The Bangles - Walk Like An Egyptian.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
vocals_The Bee Gees - Jive Talkin.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;T
