FileName;Collection;Prefix;Status;Pass
instrumental_01 - Pretty Fly (For a White Guy).wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_01 - What I've Done.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;GOOD;True
instrumental_01. Debaser.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_01. Green Day - Know Your Enemy.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;BAD;False
instrumental_01. Guns N' Roses - Chinese Democracy.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;GOOD;True
instrumental_01. Just a Girl.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_01. More Than A Feeling.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_01. Survivor - Eye of the Tiger.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;BAD;False
instrumental_01. The Clash - London Calling.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_01. Wake Up Dead.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_02- Your Troubles Will Cease and Fortune Will Smile Upon You.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_02. It's My Life.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_02. Peace of Mind.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;GOOD;True
instrumental_02. Slice of Your Pie.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_03- Pendulum.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_03. Guns N' Roses - Better.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_03. Judas Priest - Riding on the Wind.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_03. Smashing Pumpkins - Today.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;BAD;False
instrumental_03. Take No Prisoners.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_04 - Band on the Run.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;GOOD;True
instrumental_04 - Du Hast.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_04 Mandelbrot Set.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_04. Bathwater.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_04. Five Magics.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;PERFECT;True
instrumental_04. Green Day - East Jesus Nowhere.wav;RockBand-GuitarHero_rb-spreadsheet-PERFECT;0;BAD;False
