FileName;Collection;Prefix;Status;Pass
vocals_L7 - Pretend We're Dead.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;;False
vocals_Lacuna Coil - Our Truth.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;BAD;False
vocals_Lacuna Coil - Survive.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;BAD;False
vocals_Lady Gaga featuring Beyoncé - Telephone.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Again We Rise.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;GOOD;True
vocals_Lamb Of God - Beating On Death's Door.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Blacken The Cursed Sun.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Broken Hands.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Choke Sermon.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Contractor.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Dead Seeds.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Descending.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Everything To Nothing.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Fake Messiah.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Foot To The Throat.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Forgotten (Lost Angels).mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Grace.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - In Your Words.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Reclamation.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;GOOD;True
vocals_Lamb Of God - Requiem.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Set To Fail.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;GOOD;True
vocals_Lamb Of God - Shoulder Of Your God.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Lamb Of God - Walk With Me In Hell.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;GOOD;True
vocals_Lamb Of God - We Die Alone.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;PERFECT;True
vocals_Len Price 3 - If I Ain't Got You.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;L;BAD;False
