FileName;Collection;Prefix;Status;Pass
vocals_Nada Surf - Hi-Speed Soul.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;PERFECT;True
vocals_Naked Brothers Band - I Don't Want To Go To School.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;PERFECT;True
vocals_Nancy Fullforce - RockNRola.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;GOOD;True
vocals_Nazareth - Hair Of The Dog.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;BAD;False
vocals_Negramaro - Nuvole E Lenzuola.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;BAD;False
vocals_Negrita - Mama Maè.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;GOOD;True
vocals_Neil Young - Rockin' In the Free World.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;BAD;False
vocals_Nelly Furtado - Turn Off The Light.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;PERFECT;True
vocals_New Pornographers - Electric Version.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;PERFECT;True
vocals_Nickelback - Because Of You.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;GOOD;True
vocals_Nirvana - About a Girl (Unplugged Live).mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;BAD;False
vocals_Nirvana - Drain You.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;BAD;False
vocals_Nirvana - In Bloom.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;GOOD;True
vocals_Nirvana - School.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;BAD;False
vocals_Nirvana - Sliver.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;GOOD;True
vocals_No Doubt - Bathwater.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;PERFECT;True
vocals_No Doubt - Don't Speak.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;BAD;False
vocals_No Doubt - Excuse Me Mr.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;BAD;False
vocals_No Doubt - Hella Good.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;GOOD;True
vocals_No Doubt - It's My Life.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;GOOD;True
vocals_No Doubt - Running.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;GOOD;True
vocals_No Doubt - Sunday Morning.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;BAD;False
vocals_No Doubt - Underneath It All.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;BAD;False
vocals_NOFX - Soul Doubt.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;GOOD;True
vocals_Norman Greenbaum - Spirit In The Sky.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;N;GOOD;True
