FileName;Collection;Prefix;Status;Pass
vocals_R.E.M. - Horse To Water.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;BAD;False
vocals_R.E.M. - Man-Sized Wreath.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;PERFECT;True
vocals_R.E.M. - Supernatural Superserious.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;GOOD;True
vocals_Radiohead - My Iron Lung.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;GOOD;True
vocals_Radiohead - Reckoner.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;GOOD;True
vocals_Rage Against The Machine - Bulls On Parade.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;BAD;False
vocals_Rage Against The Machine - Guerilla Radio.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;PERFECT;True
vocals_Rage Against The Machine - Testify.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;PERFECT;True
vocals_Rammstein - Waidmanns Heil.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;BAD;False
vocals_Ramones - Theme from Spiderman.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;BAD;False
vocals_Ratt - Round and Round.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;PERFECT;True
vocals_Ray Parker Jr. - Ghostbusters.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;BAD;False
vocals_Razorlight - Stumble and Fall.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;PERFECT;True
vocals_Red Hot Chili Peppers - Apache Rose Peacock.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;BAD;False
vocals_Red Hot Chili Peppers - Blood Sugar Sex Magik.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;BAD;False
vocals_Red Hot Chili Peppers - Breaking The Girl.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;BAD;False
vocals_Red Hot Chili Peppers - Funky Monks.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;PERFECT;True
vocals_Red Hot Chili Peppers - Give It Away.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;GOOD;True
vocals_Red Hot Chili Peppers - I Could Have Lied.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;BAD;False
vocals_Red Hot Chili Peppers - Mellowship Slinky in B Major.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;BAD;False
vocals_Red Hot Chili Peppers - My Lovely Man.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;PERFECT;True
vocals_Red Hot Chili Peppers - Naked in the Rain.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;BAD;False
vocals_Red Hot Chili Peppers - Suck My Kiss.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;PERFECT;True
vocals_Red Hot Chili Peppers - The Greeting Song.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;R;GOOD;True
