FileName;Collection;Prefix;Status;Pass
vocals_Saliva - Always.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Samhain - Mother Of Mercy.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Santana - Black Magic Woman.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Santigold - L.E.S. Artistes.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Saving Abel - Addicted.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Scott McKeon - Broken Man.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Seether - Country Song.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Selena Gomez & The Scene - Falling Down.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Senses Fail - The Martyr.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Sex Pistols - Pretty Vacant.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Shadows Fall - Still I Rise.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_She Wants Revenge - Take The World.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Shinedown - Sound Of Madness.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Silverchair - Tuna In The Brine.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Silverstein - I Am The Arsonist.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Silversun Pickups - Lazy Eye.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Slash - Nothing To Say.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Slash - Watch This.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Slash feat. Ian Astbury - Ghost.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Slayer - Chemical Warfare.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Slayer - War Ensemble.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Smashing Pumpkins - 1979.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Smashing Pumpkins - Cherub Rock.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Smashing Pumpkins - G.L.O.W.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Smashing Pumpkins - The Everlasting Gaze.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Smashing Pumpkins - Today.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Snot - Deadfall.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Snow Patrol - Hands Open.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Snow Patrol - You're All I Have.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Social Distortion - I Was Wrong.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Social Distortion - Mommy's Little Monster (live).mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Sonic Youth - Teenage Riot.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Soundgarden - Birth Ritual.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Soundgarden - Black Rain.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Soundgarden - Hunted Down.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Soundgarden - Rusty Cage.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Spice Girls - Wannabe.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Spinal Tap - Short and Sweet.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Sponge - Plowed.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Sportfreunde Stiller - '54, '74, '90, 2010.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Squeeze - Cool for Cats.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Steely Dan - Black Friday.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Steely Dan - Do It Again.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Steely Dan - Kid Charlemagne.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Sterns - Supreme Girl.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Steve Harley & Cockney Rebel - Make Me Smile (Come Up and See Me).mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Steve Miller Band - Rock'n Me.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Stevie Nicks with Tom Petty - Stop Dragging My Heart Around.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Stevie Ray Vaughn and Double Trouble - Dirty Pool.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Stevie Ray Vaughn and Double Trouble - Love Struck Baby.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Stevie Ray Vaughn and Double Trouble - Pride And Joy.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Stevie Ray Vaughn and Double Trouble - Texas Flood.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Sting - Demolition Man (live).mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Stone Temple Pilots - Adhesive.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Stone Temple Pilots - Between The Lines.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Stone Temple Pilots - Bi-Polar Bear.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Stone Temple Pilots - Huckleberry Crumble.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Stone Temple Pilots - Vasoline.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Street Sweeper Social Club - 100 Little Curses.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Street Sweeper Social Club - Somewhere In The World, It's Midnight.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Strung Out - Calling.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Stuck In The Sound - Toy Boy.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Styx - Mr. Roboto.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Sublime - Santeria.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Sublime - What I Got.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Suicidal Tendencies - War Inside My Head.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;GOOD;True
vocals_Sum 41 - Motivation.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Supergrass - Grace.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Survivor - Eye of the Tiger.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_Sweet - Ballroom Blitz (cover).mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_Swingin' Utters - This Bastard's Life.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;BAD;False
vocals_System of a Down - Byob.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
vocals_System Of A Down - Chop Suey!.mogg_fixed.mogg_extract.wav;RockBand-GuitarHero-moggs;S;PERFECT;True
