FileName;RockBand-GuitarHero_rb-spreadsheet;Status;Pass;Prefix
vocals_1.2 Bryan Adams - Summer of 69.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_1.3 Boys like Girls - Thunder.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;1
vocals_1.4 All American Rejects - Swing, Swing.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;1
vocals_1.5 David Bowie - Let's Dance.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_1.6 The Coral - Dreaming of You.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_1.7 Queen - We Are the Champions.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;1
vocals_10 - Comedown.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_10 - Hit Me With Your Best Shot.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_10 - Lips Of An Angel.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;1
vocals_10 - Panama.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_10 Skullcrusher Mountain.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;1
vocals_10. ACDC - Moneytalks (Live).wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_10. Blood Sugar Sex Magik.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_10. February Stars.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_10. Foxey Lady.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_10. Guns N' Roses - Sorry.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;1
vocals_10. John Lennon -  Oh Yoko.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_10. Judas Priest - Devil's Child.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;1
vocals_10. La La Love You.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;1
vocals_10. Lovely Rita.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;1
vocals_10. Paramore - That's What You Get.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;1
vocals_10. Pearl Jam - Deep.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_10. Spiderwebs.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_10. The Clash - The Guns of Brixton.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_10. Time for Change.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_10.11. Sun King - Mean Mr. Mustard.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_10.Jimi Hendrix -  She's So Fine (Noel Redding).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_11 - Ain't Talkin' 'Bout Love.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_11 - Beautiful Disaster.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_11. ACDC - Hells Bells (Live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_11. Are You Experienced.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_11. Bikini Kill - Rebel Girl.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_11. Guns N' Roses - I.R.S.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_11. In My Life.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_11. No. 13 Baby.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_11. Pearl Jam - Release.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_11. Simple Kind of Life.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;1
vocals_11. The Clash - Wrong 'Em Boyo.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
vocals_11. Under the Bridge.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;1
