FileName;Collection;Status;Pass;Prefix
vocals_Anthrax - Caught in a Mosh.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;A
vocals_All That Remains - This Calling.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_A-Ha - Take On Me.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Alanis Morissette - Head Over Feet.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Avenged Sevenfold - Seize The Day.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;A
vocals_Avenged Sevenfold - Afterlife.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Avenged Sevenfold - Scream.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Avenged Sevenfold - Beast and the Harlot.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Avenged Sevenfold - Critical Acclaim.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Aerosmith - Dream On (Live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;A
vocals_AFI - Medicate.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;A
vocals_Alien Ant Farm - Smooth Criminal.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Aerosmith - Legendary Child.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;A
vocals_AFI - Miss Murder.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;A
vocals_Aerosmith - Cryin'.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Amberian Dawn - Circus Black.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Alien Ant Farm - Movies.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;A
vocals_Anthrax - Among The Living.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;A
vocals_Aerosmith - Walk This Way.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Anthrax - Indians.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;A
vocals_Alice Cooper - School's Out.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;A
vocals_A Day To Remember - 2nd Sucks.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;A
vocals_Avenged Sevenfold - Welcome To The Family.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Andromeda - My Star.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Airbourne - Runnin' Wild.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;A
vocals_AFI - Girl's Not Grey.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;A
vocals_Anthrax - Among The Living.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;A
vocals_At the Drive-In - One Armed Scissor.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;A
vocals_Avenged Sevenfold - Shepherd of Fire.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Alice Cooper - I'm Eighteen (Live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;A
vocals_A Flock of Seagulls - I Ran (So Far Away).wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;A
vocals_Avenged Sevenfold - Nightmare.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Avenged Sevenfold - Almost Easy.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
vocals_Amberian Dawn - Blackbird.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;A
