FileName;Collection;Status;Pass;Prefix
vocals_B.B. King - The Thrill is Gone.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;B
vocals_B.o.B. (featuring Hayley Williams) - Airplanes.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_B-182 - The Party Song.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_B-182 - Up All Night.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_B-52s - Rock Lobster.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;B
vocals_Back In The U.S.S.R.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;B
vocals_Bad Religion - 21st Century (Digital Boy).wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;B
vocals_Bad Religion - Sorrow.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_Bad Wolves - Remember When.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_Band of Horses - The Funeral.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_Band Of Skulls - I Know What I Am.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_Bang Camaro - Push Push (Lady Lightning).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;B
vocals_Bang Camaro - Rock Rebellion.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_Bang Camaro - Swallow the Razor.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;B
vocals_Barenaked Ladies - Hanukkah Blessings.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_Barenaked Ladies - One Week.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_BB Brunes - Dis-Moi.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_Beach Boys - Good Vibrations (LIVE).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;B
vocals_Bee Gees - Night Fever.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;B
vocals_Ben Harper and Relentless7 - Shimmer & Shine.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_Between the Buried and Me - Obfuscation.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_Between the Buried and Me - Prequel to the Sequel.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_Big Country - In a Big Country.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;B
vocals_Billy Idol - Rebel Yell.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;B
