FileName;Collection;Status;Pass;Prefix
vocals_Dashboard Confessional - Hands Down.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Daughtry - Its Not Over.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Daughtry - No Surprise (RockBand).wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_David Bowie - Space Oddity.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_David Bowie - Ziggy Stardust.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Day Tripper.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Dead Kennedys - California Über Alles.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Dead Kennedys - Holiday in Cambodia.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Dead Kennedys - Police Truck.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Dealership - Database Corrupted.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Dear Prudence.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Deep Purple - Child In Time.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Deep Purple - Smoke on the Water.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Deep Purple - Space Truckin'.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Def Leppard - Animals (Live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Def Leppard - Bringin' On A Heartbreak.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Def Leppard - Foolin'.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Def Leppard - Photograph.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Def Leppard - Pour Some Sugar on Me (Live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Def Leppard - Rock Of Ages.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Def Leppard - Undefeated.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Depeche Mode - Never Let Me Down Again.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Depeche Mode - Personal Jesus.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Depeche Mode - Policy Of Truth.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_DevilDriver - Clouds Over California.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Devin Townsend - By Your Command.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Devin Townsend - Color Your World.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Devin Townsend - N9.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Devin Townsend - Planet Smasher.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Devin Townsend - Solar Winds.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Devin Townsend - The Greys.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Devin Townsend - ZTO.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Devo - Girl U Want.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Devo - Through Being Cool.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Devo - Whip It.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Die Toten Hosen - Hier Kommt Alex.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Dierks Bentley - Free and Easy (Down the Road I Go).wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Dig A Pony.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Dio - Holy Diver.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Dio - Rainbow in the Dark.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Dio - Stand Up And Shout.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;D
vocals_Dire Straits - Walk of Life.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;D
vocals_Disturbed - Another Way to Die.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Disturbed - Asylum.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Disturbed - Down With The Sickness.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Disturbed - Indestructible.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Disturbed - Indistructable.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Disturbed - Inside The Fire.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Disturbed - Meaning of Life.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Disturbed - Perfect Insanity.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Disturbed - Stricken.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
vocals_Disturbed - The Animal.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;D
