FileName;Collection;Status;Pass;Prefix
vocals_Eagles Of Death Metal - Cherry Cola.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;E
vocals_Eagles Of Death Metal - I Only Want You.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;E
vocals_Earth, Wind & Fire - September.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;E
vocals_Earth, Wind & Fire - Shining Star.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;E
vocals_Echo and the Bunnymen - The Killing Moon.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Eddie Money - Two Tickets to Paradise.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Eight Days a Week.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;E
vocals_Elton John - I'm Still Standing.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;E
vocals_Elton John - Saturday Night's Alright.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;E
vocals_EMF - Unbelievable.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;E
vocals_Endeverafter - I Wanna Be Your Man.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Erasure - A Little Respect.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;E
vocals_Eric Cartman - Lady Gaga's 'Poker Face' (South Park Version).wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Evanescence - Bring Me to Life.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Evanescence - Call Me When You're Sober.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Evanescence - Everybody's fool.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Evanescence - Going Under.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Evanescence - Lithium.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Evanescence - Weight of the World.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Evanescence - What you want.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Everclear - Santa Monica.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;E
vocals_Evergreen Terrace - Sending Signals.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;E
vocals_Evile - Thrasher.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
vocals_Extreme - More Than Words.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;E
