FileName;Collection;Status;Pass;Prefix
vocals_Faith No More - Epic.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Faith No More - Midlife Crisis.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Faith No More - We Care Alot.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Fall Out Boy - A Little Less Sixteen Candles, A Little More [Touch Me] Stems.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Fall Out Boy - A Little Less Sixteen Candles, A Little More [Touch Me].wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Fall Out Boy - Dance, Dance.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Fall Out Boy - I Don't Care.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Fall Out Boy - Sugar, We're Goin Down.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Fall Out Boy - Sugar, We're Goin' Down.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Fall Out Boy - This Ain't a Scene, It's an Arms Race.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Fall Out Boy - Thnks fr th Mmrs.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Fall Out Boy I Don't Care (6 Stems).wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_FF - Do You Want To.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_FF - Lucid Dreams.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_FF - Take Me Out.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Filter - Hey Man Nice Shot.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Finley - Tutto è Possibile.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Five Finger Death Punch - Hard to See.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Fleetwood Mac - Dreams.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;F
vocals_Fleetwood Mac - Gold Dust Woman.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Fleetwood Mac - Landslide.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;F
vocals_Fleetwood Mac - Rhiannon.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Flobots - Handlebars (RockBand).wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Flyleaf - Again.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Foo Fighters - All My Life.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Foo Fighters - DOA.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Foo Fighters - Everlong.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;F
vocals_Foo Fighters - I'll Stick Around.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Foo Fighters - Lonely as You.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Foo Fighters - Long Road to Ruin.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Foo Fighters - My Hero.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;F
vocals_Foo Fighters - Rope.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Foo Fighters - Something From Nothing.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Foo Fighters - Stacked Actors.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Foo Fighters - The Pretender.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Foo Fighters - These Days.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Foo Fighters - This Is a Call.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;F
vocals_Foo Fighters - Times Like These.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Foo Fighters - Walk.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;F
vocals_Foreigner - Cold as Ice.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Foreigner - Cold as Ice.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Foreigner - Feels Like the First Time.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Foreigner - Hot Blooded.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Foreigner - I Want to Know What Love is.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;F
vocals_Foreigner - Jukebox Hero.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Foreigner - Waiting For a Girl Like You.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Foster the People - Pumped Up Kicks.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_foster-the-people-remix-opportunity_305.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Frank Turner - I Still Believe.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Free - All Right Now.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;F
vocals_Freezepop - Get Ready 2 Rokk.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Freezepop - Less Tokk Moar Rokk.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Freezepop - Science Genious Girl.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Freezepop - Super Sprøde.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Fun - Some Nights.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
vocals_Fun. ft. Janelle Moné - We Are Young.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;F
