FileName;RockBand-GuitarHero_rb-spreadsheet;Status;Pass;Prefix
vocals_H-Blockx - Countdown To Insanity.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;H
vocals_Halfbrick Studios - Pirats 'Til We Die.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;H
vocals_Hall & Oates - I Can't Go For That.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;H
vocals_Hall & Oates - Maneater.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_Hall & Oates - Private Eyes.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;H
vocals_Harvey Danger - Cream and Bastards Rise.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;H
vocals_Heart - Alone.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;H
vocals_Heart - Barracuda.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;H
vocals_Hello Goodbye.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_Helter Skelter.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_Here Comes The Sun.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_Hey Bulldog.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_HIM - Killing Loneliness.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_HIM - Wings of a Butterfly.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_Hinder  - Use Me.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;H
vocals_Hinder - Use Me.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;H
vocals_Hollywood Undead - Young.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;H
vocals_Honest Bob and the Factory-to-Dealer Incentives - Hey.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;H
vocals_Honest Bob and the Factory-to-Dealer Incentives - I Don't Want to Hear About Your Crappy Boyfriend.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_Hot Hot Heat - Bandages.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;H
vocals_Huey Lewis and the News - I Want a New Drug.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_Huey Lewis and the News - The Heart of Rock & Roll.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_Huey Lewis and the News - The Power of Love.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_Huey Lewis and the News- Do You Believe In Love.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;H
vocals_Hypernova - Viva La Resistance.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;H
