FileName;RockBand-GuitarHero_rb-spreadsheet;Status;Pass;Prefix
vocals_Kaipa - In the Wake of Evolution.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;K
vocals_Kasabian - Shoot the Runner.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;K
vocals_Keith Urban - I Told You So.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;K
vocals_Kelly Clarkson - Stronger (What Doesn't Kill You).wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;K
vocals_Kenny Chesney - She Thinks My Tractor's Sexy.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;K
vocals_Kenny Loggins - Footloose.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;K
vocals_Kenny Loggins - Im Alright.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;K
vocals_Kenny Rogers - The Gambler.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;K
vocals_Killswitch Engage - My Curse.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;K
vocals_Killswitch Engage - The Arms of Sorrow (MT).wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;K
vocals_Kiss - Calling Dr. Love.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;K
vocals_Kiss - Rock and Roll All Nite.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;K
vocals_KMFDM - Juke Joint Jezebel.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;K
vocals_KMFDM - Sturm & Drang.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;K
vocals_Kool & The Gang - Jungle Boogie.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;K
vocals_KT Tunstall - Suddenly I See.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;K
vocals_Kutless - The Feeling.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;K
