FileName;RockBand-GuitarHero_rb-spreadsheet;Status;Pass;Prefix
vocals_NailtheMixApril2018.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_Nautiluz - Chasing the Light.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Nickelback - Burn It to the Ground.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Nickelback - Figured You Out.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Nickelback - How You Remind Me.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_Nickelback - Never Again.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Nickelback - Photograph.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Nickelback - Rockstar.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_Nickelback - This Afternoon.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Night Ranger - (You Can Still) Rock in America.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Night Ranger - Sister Christian.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_Nightwish - Amaranth.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Nine Inch Nails - Burn.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_Nine Inch Nails - Capital G.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_Nine Inch Nails - Closer.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_Nine Inch Nails - Head Like a Hole.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Nine Inch Nails - Last.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_Nine Inch Nails - March Of The Pigs.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_Nine Inch Nails - The Collector.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_Nine Inch Nails - The Hand That Feeds.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Nine Inch Nails - The Perfect Drug.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Nirvana - All Apologies.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_Nirvana - Breed.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_Nirvana - Come As You Are (Unplugged).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_Nirvana - Heart-Shaped Box.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_Nirvana - Lithium (Live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_Nirvana - Lounge Act.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_Nirvana - On A Plain.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_Nirvana - Polly.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_Nirvana - Rape Me.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_Nirvana - Smells Like Teen Spirit.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_Nirvana - Something In The Way.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Nirvana - Stay Away.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_Nirvana - Territorial Pissings.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;N
vocals_Nirvana - You Know You're Right.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_No Doubt - Excuse Me Mister.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_No Doubt - Just a Girl.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_No Doubt - New.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;N
vocals_No Doubt - Spiderwebs.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
vocals_NOMA - Stems of Brain Power.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;N
