FileName;RockBand-GuitarHero_rb-spreadsheet;Status;Pass;Prefix
vocals_Oasis - Don't Look Back in Anger.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_Oasis - Live Forever.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_Oasis - Rock 'N' Roll Star.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Oasis - Wonderwall.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_Octopus's Garden.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;O
vocals_Ohio Players - Love Rollercoaster.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Oingo Boingo - Weird Science.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Ok Go - Here It Goes Again.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_ok-go-remix-contest_241.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_OneRepublic - Counting Stars.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_OneRepublic - Stop and Stare.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;O
vocals_Opeth - Ghost of Perdition.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_Opeth - Heir Apparent.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Opiate for the Masses - Burn You Down.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Owl City - Fireflies.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_Ozzy Osbourne - Bark at the Moon.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_Ozzy Osbourne - Crazy Babies.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Ozzy Osbourne - Crazy Train.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Ozzy Osbourne - Diary of a Madman.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;O
vocals_Ozzy Osbourne - Diggin' Me Down.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_Ozzy Osbourne - Flying High Again.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Ozzy Osbourne - I Don't Know.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_Ozzy Osbourne - I Dont Wanna Stop.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_Ozzy Osbourne - Let Me Hear You Scream.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;O
vocals_Ozzy Osbourne - Mama, I'm Coming Home.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Ozzy Osbourne - Mr. Crowley.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Ozzy Osbourne - No More Tears.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Ozzy Osbourne - Over the Mountain.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
vocals_Ozzy Osbourne - Soul Sucker.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;O
vocals_Ozzy Osbourne - Steal Away (The Night).wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;O
