FileName;Collection;Status;Pass;Prefix
vocals_P.O.D. - Alive (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_P.O.D. - Boom.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_P.O.D. - Youth of the Nation.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Panic at the Disco - I Write Sins Not Tragedies.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Panic! At the Disco - She's a Handsome Woman.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;P
vocals_Pantera - (Reprise) Sandblasted Skin.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - 10's (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - 10's.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - 13 Steps to Nowhere (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - 13 Steps to Nowhere.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;P
vocals_Pantera - Drag the Waters (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - Drag the Waters.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - Floods (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - Floods.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;P
vocals_Pantera - I'm Broken.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - Living Through Me (Hell's Wrath).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - Mouth for War (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - Suicide Note Pt. II.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - The Great Southern Trendkill (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - The Great Southern Trendkill.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;P
vocals_Pantera - The Underground in America.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - Walk (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - War Nerve (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pantera - War Nerve.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Papa Roach - Last Resort.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Papa Roach - Time Is Running Out.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Paperback Writer.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Paramore - Brick By Boring Brick.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Paramore - Crushcrushcrush.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Paramore - Ignorance.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Paramore - Misery Business.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Paramore - Pressure.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Paramore - That's What You Get.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Paramore - The Only Exception.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Paul and Storm - Nugget Man.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Peter Cetera - Glory of Love.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;P
vocals_Peter Frampton - Do You Feel Like We Do (Live).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Phish - Llama.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;P
vocals_Phoenix - 1901.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Phoenix - Lasso.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Phoenix - Lisztomania.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Pink - Raise Your Glass.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;P
vocals_Pink - So What.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Pixies - Debaser.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;P
vocals_Pixies - Monkey Gone To Heaven.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;P
vocals_Plain White T's - Natural Disaster.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;P
vocals_Platero y Tú - Hay Poco Rock and Roll.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;P
vocals_Pleymo - New Wave.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;P
