FileName;Collection;Status;Pass;Prefix
vocals_R.E.M. - Drive 8.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_R.E.M. - Its The End Of The World As We Know It.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_R.E.M. - Living Well Is The Best Revenge.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_R.E.M. - Losing My Religion.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_R.E.M. - Man on the Moon.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_R.E.M. - Radio Free Europe.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_R.E.M. - Stand.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_R.E.M. - Superman.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_R.E.M. - These Days.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_R.E.M. - What's the Frequency, Kenneth.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_R.E.M. - Whats The Frequency Kenneth.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Rainbowdragoneyes - Creatures ov Deception.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Rainbowdragoneyes - Heavy Weather - The Storm ov The Undead.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Rainbowdragoneyes - Thrashbaath.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Ram Jam - Black Betty.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Rammstein - Du Hast.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Ramones - I Wanna Be Sedated.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Ramones - Teenage Lobotomy.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Rancid - Ruby Soho.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Rascal Flatts - Life Is a Highway.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Rascal Flatts - Me And My Gang.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_rathergood.com - We Like The Moon.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Raveonettes - Last Dance.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Red Hot Chili Peppers - By the Way.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Red Hot Chili Peppers - Californication.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Red Hot Chili Peppers - Look Around.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Red Hot Chili Peppers - Monarchy of Roses.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Red Hot Chili Peppers - Otherside.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Red Hot Chili Peppers - Parallel Universe.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Red Hot Chili Peppers - Scar Tissue.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Red Hot Chili Peppers - Snow (Hey Oh).wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Red Hot Chili Peppers - Tell Me Baby.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Red Hot Chili Peppers - The Adventures of Rain Dance Maggie.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_REO Speedwagon - Keep On Loving You.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_REO Speedwagon - Keep On Loving You (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_REO Speedwagon - Roll with the Changes (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_REO Speedwagon - Take It on the Run (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Revolution.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Richard Campbell - Beyond the Night.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Richard Campbell - England Rock Anthems.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Richard Campbell - The Modern Prometheus.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Richard Campbell - The Spark of Life.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Richard Thompson - The Way That It Shows.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Rick Astley - Never Gonna Give You Up.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Rick Springfield - Jessie's Girl.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Rilo Kiley - Portions of Foxes.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Rise Against - Audience of One.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Rise Against - Prayer of the Refugee.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Rise Against - Re-Education (Through Labor).wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Rise Against - Re-Education (Through Labor) [Jammit].wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Rise Against - Savior.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Riverboat Gamblers - Don't Bury Me I'm Still Not Dead.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Rob Zombie - Dragula.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Rob Zombie - Warzone.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Rodney Atkins - These Are My People.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;R
vocals_Roxette - The Look.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Roy Orbison - Claudette.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Roy Orbison - In Dreams.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Roy Orbison - Mean Woman Blues.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Roy Orbison - Oh, Pretty Woman.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Roy Orbison - Ooby Dooby.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Roy Orbison - You Got It.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;R
vocals_Rush - 2112.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Rush - 2112 (Part I, II) [Jammit].wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Rush - 2112 (Part III, IV) [Jammit].wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Rush - 2112 (Part V, VI, VII) [Jammit].wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Rush - 2112 Pt. 1 Overture.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Rush - 2112 Pt. 2 The Temples of Syrinx.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Rush - 2112 Pt. 3 Discovery.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Rush - 2112 Pt. 4 Presentation.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
vocals_Rush - 2112 Pt. 5 Oracle - The Dream.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;R
