FileName;Collection;Status;Pass;Prefix
vocals_WAR - Low Rider.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;W
vocals_Warren Zevon - Werewolves of London.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;W
vocals_Warren Zevon - Werewolves of London (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;W
vocals_Weezer - Back To The Shack.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;W
vocals_Weezer - Beverly Hills.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;W
vocals_Weezer - Dreamin'.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;W
vocals_Weezer - El Scorcho.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;W
vocals_Weezer - Island in the Sun.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;W
vocals_Weezer - Pork and Beans.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;W
vocals_Weezer - The Greatest Man That Ever Lived.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;W
vocals_Weezer - Troublemaker.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;W
vocals_While My Guitar Gently Weeps.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;W
vocals_White Zombie - Black Sunshine.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;W
vocals_White Zombie - More Human than Human.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;W
vocals_Whitesnake - Here I Go Again.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;W
vocals_Wild Cherry - Play That Funky Music.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;W
vocals_Willie Nelson - On the Road Again.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;W
vocals_Within You Without You Tomorrow Never Knows.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;W
vocals_Wolfmother - Pilgrim.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;W
vocals_Wolfmother - Woman (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;W
