FileName;Collection;Status;Pass;Prefix
vocals_Yeah Yeah Yeahs - Date with the Night.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;Y
vocals_Yellow Submarine.wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;Y
vocals_Yes - I've Seen All Good People (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;Y
vocals_Yes - Owner of a Lonely Heart.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;Y
vocals_Yes - Roundabout.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;Y
vocals_Yes - Roundabout (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;Y
vocals_Yes - South Side of the Sky (Jammit).wav;RockBand-GuitarHero_rb-spreadsheet;BAD;False;Y
vocals_Yngwie Malmsteen - Damnation Game.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;Y
vocals_Yngwie Malmsteen - Red Devil.wav;RockBand-GuitarHero_rb-spreadsheet;PERFECT;True;Y
vocals_Young The Giant - My Body.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;Y
vocals_your decision.wav;RockBand-GuitarHero_rb-spreadsheet;GOOD;True;Y
