SongName,VocalTracks
Danzig - Mother.mogg_fixed.mogg_extract,12|13
Darkest Hour - Demon.mogg_fixed.mogg_extract,7|8
Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract,8|9|10|11
Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract,14|15
David Bowie - Golden Years.mogg_fixed.mogg_extract,12|13|14|15
David Bowie - Let's Dance.mogg_fixed.mogg_extract,12|13
David Bowie - Space Oddity.mogg_fixed.mogg_extract,9|10
David Bowie - Suffragette City.mogg_fixed.mogg_extract,6|7
David Bowie - Ziggy Stardust.mogg_fixed.mogg_extract,7|8
Davidicus - You Really Like Me.mogg_fixed.mogg_extract,14|15
Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract,10|11
Dead Kennedys - Police Truck.mogg_fixed.mogg_extract,10|11|12|13
Dealership - Database Corrupted.mogg_fixed.mogg_extract,7|8|9|10
Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract,10|11
Deep Purple - Highway Star.mogg_fixed.mogg_extract,9|10
Deep Purple - Smoke on the Water.mogg_fixed.mogg_extract,12|13
Deep Purple - Space Truckin'.mogg_fixed.mogg_extract,12|13
Def Leppard - Bringin' On The Heartbreak.mogg_fixed.mogg_extract,7|8|12|13|16|17
Def Leppard - Foolin'.mogg_fixed.mogg_extract,12|13
Def Leppard - Photograph.mogg_fixed.mogg_extract,10|11
Def Leppard - Rock Of Ages.mogg_fixed.mogg_extract,10|11
Deftones - Hole In The Earth.mogg_fixed.mogg_extract,7|8
Demi Lovato - Here We Go Again.mogg_fixed.mogg_extract,14|15
Depeche Mode - Never Let Me Down Again.mogg_fixed.mogg_extract,6|7
Dethklok - Bloodlines.mogg_fixed.mogg_extract,7|8
Dethklok - Laser Cannon Deth Sentence.mogg_fixed.mogg_extract,14|15
DevilDriver - Clouds Over California.mogg_fixed.mogg_extract,8|9
DevilDriver.mogg_fixed.mogg_extract,8|9
Devo - Girl U Want.mogg_fixed.mogg_extract,7|8|9|10|11|12
Devo - Uncontrollable Urge.mogg_fixed.mogg_extract,7|8|9|10
Devo - Whip It.mogg_fixed.mogg_extract,14|15
Di-Rect - Johnny.mogg_fixed.mogg_extract,14|15
Diamond Head - Am I Evil.mogg_fixed.mogg_extract,14|15
Die Toten Hosen - Hier Kommt Alex.mogg_fixed.mogg_extract,14|15
Dierks Bentley - Free And Easy (Down The Road I Go).mogg_fixed.mogg_extract,8|9
Dinosaur Jr - Feel The Pain.mogg_fixed.mogg_extract,12|13
Dinosaur Jr. - Feel the Pain.mogg_fixed.mogg_extract,2|3|9|10
Dio - Rainbow in the Dark.mogg_fixed.mogg_extract,10|11
Dire Straits - Money for Nothing.mogg_fixed.mogg_extract,7|8
Dire Straits - Sultans Of Swing.mogg_fixed.mogg_extract,10|11
Disturbed - Down With The Sickness.mogg_fixed.mogg_extract,14|15
Disturbed - Indestructable.mogg_fixed.mogg_extract,14|15
Disturbed - Indestructible.mogg_fixed.mogg_extract,9|10
Disturbed - Inside The Fire.mogg_fixed.mogg_extract,9|10
Disturbed - Perfect Insanity.mogg_fixed.mogg_extract,8|9
Disturbed - Stricken.mogg_fixed.mogg_extract,14|15
Don Liberati - Love Holds It Down.mogg_fixed.mogg_extract,14|15
Don McLean - American Pie.mogg_fixed.mogg_extract,14|15
Donnas - New Kid In School.mogg_fixed.mogg_extract,8|9|10|11
Dover - King George.mogg_fixed.mogg_extract,7|8
Dream Theater - A Rite Of Passage.mogg_fixed.mogg_extract,10|11
Dream Theater - Constant Motion.mogg_fixed.mogg_extract,8|9
Dream Theater - Nightmare To Remember.mogg_fixed.mogg_extract,10|11
Dream Theater - On The Backs Of Angels.mogg_fixed.mogg_extract,8|9
Dream Theater - Panic Attack.mogg_fixed.mogg_extract,8|9
Dream Theater - Pull Me Under.mogg_fixed.mogg_extract,12|13
Dream Theater - The Best Of Times.mogg_fixed.mogg_extract,8|9|10|11
Dream Theater - The Count Of Tuscany.mogg_fixed.mogg_extract,8|9|10|11
Dream Theater - The Shattered Fortress.mogg_fixed.mogg_extract,8|9|10|11
Dream Theater - Wither.mogg_fixed.mogg_extract,10|11
dredg - Gathering Pebbles.mogg_fixed.mogg_extract,16|17
