Classification,Filename,Label
6.98E-09,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/0.wav.png,nonvocal
7.04E-09,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0.015875088,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/10.wav.png,nonvocal
0.022317,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/11.wav.png,nonvocal
0.9944931,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/12.wav.png,vocal
0.99453485,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/13.wav.png,vocal
0.003229325,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/14.wav.png,nonvocal
0.014915483,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/15.wav.png,nonvocal
1.19E-05,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/2.wav.png,nonvocal
2.15E-05,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/3.wav.png,nonvocal
2.36E-12,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/4.wav.png,nonvocal
1.35E-28,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.003480929,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.001023917,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/7.wav.png,nonvocal
1.40E-15,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/8.wav.png,nonvocal
1.35E-15,./temp-spectrograms/Danzig - Mother.mogg_fixed.mogg_extract/9.wav.png,nonvocal
1.85E-08,./temp-spectrograms/Darker My Love - Blue Day.mogg_fixed.mogg_extract/0.wav.png,nonvocal
1.28E-05,./temp-spectrograms/Darker My Love - Blue Day.mogg_fixed.mogg_extract/1.wav.png,nonvocal
7.82E-14,./temp-spectrograms/Darker My Love - Blue Day.mogg_fixed.mogg_extract/2.wav.png,nonvocal
4.66E-11,./temp-spectrograms/Darker My Love - Blue Day.mogg_fixed.mogg_extract/3.wav.png,nonvocal
0.00051316,./temp-spectrograms/Darker My Love - Blue Day.mogg_fixed.mogg_extract/4.wav.png,nonvocal
1.24E-11,./temp-spectrograms/Darker My Love - Blue Day.mogg_fixed.mogg_extract/5.wav.png,nonvocal
4.39E-07,./temp-spectrograms/Darker My Love - Blue Day.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.28452754,./temp-spectrograms/Darker My Love - Blue Day.mogg_fixed.mogg_extract/7.wav.png,nonvocal
0.026959479,./temp-spectrograms/Darker My Love - Blue Day.mogg_fixed.mogg_extract/8.wav.png,nonvocal
0,./temp-spectrograms/Darkest Hour - Demon.mogg_fixed.mogg_extract/0.wav.png,nonvocal
2.20E-05,./temp-spectrograms/Darkest Hour - Demon.mogg_fixed.mogg_extract/1.wav.png,nonvocal
5.05E-34,./temp-spectrograms/Darkest Hour - Demon.mogg_fixed.mogg_extract/2.wav.png,nonvocal
2.55E-36,./temp-spectrograms/Darkest Hour - Demon.mogg_fixed.mogg_extract/3.wav.png,nonvocal
0.006204458,./temp-spectrograms/Darkest Hour - Demon.mogg_fixed.mogg_extract/4.wav.png,nonvocal
0.003048003,./temp-spectrograms/Darkest Hour - Demon.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0,./temp-spectrograms/Darkest Hour - Demon.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.80983275,./temp-spectrograms/Darkest Hour - Demon.mogg_fixed.mogg_extract/7.wav.png,vocal
0.9603305,./temp-spectrograms/Darkest Hour - Demon.mogg_fixed.mogg_extract/8.wav.png,vocal
0,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/0.wav.png,nonvocal
1.58E-10,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0.71549344,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/10.wav.png,vocal
0.75208426,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/11.wav.png,vocal
2.19E-10,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/2.wav.png,nonvocal
1.18E-14,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/3.wav.png,nonvocal
3.17E-16,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/4.wav.png,nonvocal
0,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.002734248,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.001968675,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/7.wav.png,nonvocal
0.9999999,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/8.wav.png,vocal
0.99999964,./temp-spectrograms/Darkest Of The Hillside Thickets - Shhh.mogg_fixed.mogg_extract/9.wav.png,vocal
2.03E-11,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/0.wav.png,nonvocal
2.14E-11,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0.000429963,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/10.wav.png,nonvocal
0.002364598,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/11.wav.png,nonvocal
